-4423.0
(43,32,0)
(43,32,2)
(8,2,1)
(8,2,2)
(22,26,0)
(22,26,3)
(22,26,4)
(24,5,0)
(24,5,2)
(36,47,2)
(36,47,4)
(8,27,3)
(42,7,0)
(4,43,4)
(4,43,5)
(4,43,11)
(11,6,0)
(11,6,3)
(49,3,2)
(12,4,3)
(45,16,1)
(40,35,5)
(40,35,6)
(40,35,11)
(32,25,3)
(13,34,7)
(13,34,9)
(29,45,1)
(29,45,4)
(23,10,1)
(23,10,4)
(26,38,1)
(27,15,6)
(35,30,7)
(35,30,8)
(3,33,7)
(3,33,9)
(3,33,11)
(36,14,5)
(17,46,5)
(17,46,6)
(0,40,6)
(0,40,7)
(0,40,8)
(28,44,5)
(28,44,6)
(1,18,8)
(1,18,14)
(1,18,16)
(49,1,7)
(49,1,12)
(9,20,9)
(23,42,8)
(14,12,13)
(14,12,17)
(26,17,8)
(33,9,9)
(21,48,9)
(13,21,11)
(15,39,11)
(15,39,13)
(44,36,13)
(44,36,15)
(44,36,16)
(25,11,13)
(48,24,10)
(48,24,12)
(48,24,14)
(5,22,12)
(5,22,14)
(5,22,16)
(39,8,12)
(39,8,18)
(2,37,10)
(2,37,15)
(2,37,16)
(34,0,12)
(34,0,14)
(34,0,16)
(38,28,14)
(38,28,18)
(38,28,19)
(30,19,10)
(30,19,17)
(30,19,18)
(39,13,19)
(16,49,10)
(16,49,15)
(16,49,18)
(26,31,15)
(42,41,10)
(42,41,17)
(46,29,15)
(46,29,19)
(37,23,13)
(37,23,17)
(37,23,19)
